			InferType: 110,906us [110,906us] (0.15%; 0.19%)
			InferType: 111,312us [111,312us] (0.15%; 0.19%)
			InferType: 110,690us [110,690us] (0.15%; 0.19%)
			InferType: 111,487us [111,487us] (0.15%; 0.19%)
			InferType: 111,822us [111,822us] (0.15%; 0.19%)
			InferType: 111,348us [111,348us] (0.15%; 0.19%)
			InferType: 111,464us [111,464us] (0.15%; 0.19%)
			InferType: 111,652us [111,652us] (0.15%; 0.19%)
			InferType: 112,443us [112,443us] (0.16%; 0.19%)
			InferType: 112,243us [112,243us] (0.16%; 0.19%)
			InferType: 111,866us [111,866us] (0.15%; 0.19%)
			InferType: 111,905us [111,905us] (0.15%; 0.19%)
			InferType: 112,580us [112,580us] (0.16%; 0.19%)
			InferType: 112,671us [112,671us] (0.16%; 0.19%)
			InferType: 118,377us [118,377us] (0.16%; 0.20%)
			InferType: 147,184us [147,184us] (0.20%; 0.25%)
			InferType: 113,154us [113,154us] (0.16%; 0.19%)
			InferType: 126,060us [126,060us] (0.17%; 0.22%)
			InferType: 118,681us [118,681us] (0.16%; 0.20%)
			InferType: 114,254us [114,254us] (0.16%; 0.20%)
			InferType: 114,126us [114,126us] (0.16%; 0.20%)
			InferType: 114,244us [114,244us] (0.16%; 0.20%)
			InferType: 115,213us [115,213us] (0.16%; 0.20%)
			InferType: 114,732us [114,732us] (0.16%; 0.20%)
			InferType: 115,500us [115,500us] (0.16%; 0.20%)
			InferType: 115,342us [115,342us] (0.16%; 0.20%)
			InferType: 115,125us [115,125us] (0.16%; 0.20%)
			InferType: 115,162us [115,162us] (0.16%; 0.20%)
			InferType: 115,413us [115,413us] (0.16%; 0.20%)
			InferType: 115,731us [115,731us] (0.16%; 0.20%)
			InferType: 115,767us [115,767us] (0.16%; 0.20%)
			InferType: 116,140us [116,140us] (0.16%; 0.20%)
			InferType: 155,738us [155,738us] (0.22%; 0.27%)
			InferType: 116,208us [116,208us] (0.16%; 0.20%)
			InferType: 116,175us [116,175us] (0.16%; 0.20%)
			InferType: 115,851us [115,851us] (0.16%; 0.20%)
			InferType: 116,391us [116,391us] (0.16%; 0.20%)
			InferType: 116,048us [116,048us] (0.16%; 0.20%)
			InferType: 116,358us [116,358us] (0.16%; 0.20%)
			InferType: 117,050us [117,050us] (0.16%; 0.20%)
			InferType: 116,467us [116,467us] (0.16%; 0.20%)
			InferType: 117,588us [117,588us] (0.16%; 0.20%)
			InferType: 118,092us [118,092us] (0.16%; 0.20%)
			InferType: 117,723us [117,723us] (0.16%; 0.20%)
			InferType: 117,976us [117,976us] (0.16%; 0.20%)
			InferType: 118,728us [118,728us] (0.16%; 0.20%)
			InferType: 118,399us [118,399us] (0.16%; 0.20%)
			InferType: 118,391us [118,391us] (0.16%; 0.20%)
			InferType: 118,453us [118,453us] (0.16%; 0.20%)
			InferType: 118,590us [118,590us] (0.16%; 0.20%)
			InferType: 118,604us [118,604us] (0.16%; 0.20%)
			InferType: 118,953us [118,953us] (0.16%; 0.20%)
			InferType: 118,755us [118,755us] (0.16%; 0.20%)
			InferType: 119,103us [119,103us] (0.16%; 0.20%)
			InferType: 119,993us [119,993us] (0.17%; 0.21%)
			InferType: 119,315us [119,315us] (0.17%; 0.21%)
			InferType: 119,117us [119,117us] (0.16%; 0.21%)
			InferType: 159,469us [159,469us] (0.22%; 0.27%)
			InferType: 119,475us [119,475us] (0.17%; 0.21%)
			InferType: 136,921us [136,921us] (0.19%; 0.24%)
			InferType: 119,558us [119,558us] (0.17%; 0.21%)
			InferType: 119,303us [119,303us] (0.17%; 0.21%)
			InferType: 119,521us [119,521us] (0.17%; 0.21%)
			InferType: 119,660us [119,660us] (0.17%; 0.21%)
			InferType: 119,874us [119,874us] (0.17%; 0.21%)
			InferType: 119,977us [119,977us] (0.17%; 0.21%)
			InferType: 120,263us [120,263us] (0.17%; 0.21%)
			InferType: 120,183us [120,183us] (0.17%; 0.21%)
			InferType: 120,979us [120,979us] (0.17%; 0.21%)
			InferType: 120,432us [120,432us] (0.17%; 0.21%)
			InferType: 121,312us [121,312us] (0.17%; 0.21%)
			InferType: 120,186us [120,186us] (0.17%; 0.21%)
			InferType: 120,785us [120,785us] (0.17%; 0.21%)
			InferType: 120,752us [120,752us] (0.17%; 0.21%)
			InferType: 121,052us [121,052us] (0.17%; 0.21%)
			InferType: 120,925us [120,925us] (0.17%; 0.21%)
			InferType: 121,067us [121,067us] (0.17%; 0.21%)
			InferType: 121,237us [121,237us] (0.17%; 0.21%)
			InferType: 121,323us [121,323us] (0.17%; 0.21%)
			InferType: 121,424us [121,424us] (0.17%; 0.21%)
			InferType: 121,783us [121,783us] (0.17%; 0.21%)
			InferType: 122,217us [122,217us] (0.17%; 0.21%)
			InferType: 122,874us [122,874us] (0.17%; 0.21%)
			InferType: 121,538us [121,538us] (0.17%; 0.21%)
			InferType: 122,714us [122,714us] (0.17%; 0.21%)
			InferType: 122,370us [122,370us] (0.17%; 0.21%)
			InferType: 123,534us [123,534us] (0.17%; 0.21%)
			InferType: 123,251us [123,251us] (0.17%; 0.21%)
			InferType: 123,369us [123,369us] (0.17%; 0.21%)
			InferType: 123,765us [123,765us] (0.17%; 0.21%)
			InferType: 124,259us [124,259us] (0.17%; 0.21%)
			InferType: 124,210us [124,210us] (0.17%; 0.21%)
			InferType: 125,175us [125,175us] (0.17%; 0.22%)
			InferType: 125,269us [125,269us] (0.17%; 0.22%)
			InferType: 125,212us [125,212us] (0.17%; 0.22%)
			InferType: 125,567us [125,567us] (0.17%; 0.22%)
			InferType: 165,673us [165,673us] (0.23%; 0.29%)
			InferType: 131,548us [131,548us] (0.18%; 0.23%)
			InferType: 149,659us [149,659us] (0.21%; 0.26%)
			InferType: 125,744us [125,744us] (0.17%; 0.22%)
			InferType: 125,992us [125,992us] (0.17%; 0.22%)
			InferType: 126,524us [126,524us] (0.18%; 0.22%)
			InferType: 126,209us [126,209us] (0.17%; 0.22%)
			InferType: 127,014us [127,014us] (0.18%; 0.22%)
			InferType: 127,089us [127,089us] (0.18%; 0.22%)
			InferType: 128,114us [128,114us] (0.18%; 0.22%)
